EMA_Span,Derivadas,Rolling,Roll_Window,Squared,MW_Window,N_Features,Components_C,RMSE,R2,Jarque_Bera_Stat,Jarque_Bera_p,Lag_Top_Temp,Lag_Top_Pressure,Lag_Reflux_Flow,Lag_Flow_To_Next_Process,Lag_Temp_Sixth_Tray,Lag_Bottom_Temp_1,Lag_Bottom_Temp_2
21,False,True,8.0,False,300,22,20,0.01880644020865356,0.9916779635394914,132.6488,0.0,10,0,2,16,9,10,10
18,False,True,12.0,True,200,29,16,0.018916870940828234,0.9916718338715235,82.2297,0.0,10,0,2,17,9,11,11
21,False,True,12.0,False,200,22,16,0.01890510566935377,0.9916639796076057,6.2424,0.044105,10,0,2,16,9,10,10
18,False,True,12.0,False,400,22,18,0.018962455733057174,0.9916316480354594,11.0291,0.004028,10,0,2,17,9,11,11
21,False,True,8.0,True,300,29,18,0.01888475908645523,0.991608505450308,21.6531,2e-05,10,0,2,16,9,10,10
21,False,True,8.0,True,200,29,18,0.01890862399679229,0.9915872831724816,944.0374,0.0,10,0,2,16,9,10,10
21,False,True,16.0,False,300,22,20,0.019190911987582524,0.9914841082138811,3.8734,0.144181,10,0,2,16,9,10,10
21,False,True,16.0,True,300,29,16,0.019214264740017275,0.9914633702196197,2.9301,0.231063,10,0,2,16,9,10,10
21,True,True,16.0,True,400,36,20,0.019223048585564083,0.9914555633554852,15.8307,0.000365,10,0,2,16,9,10,10
21,False,True,16.0,False,300,22,18,0.019244086086647634,0.9914368512397057,5.2724,0.071634,10,0,2,16,9,10,10
21,False,True,12.0,False,400,22,20,0.019167135550236053,0.9914312992016402,14.8303,0.000602,10,0,2,16,9,10,10
21,True,True,12.0,False,200,29,18,0.019178025922696816,0.9914215593160774,918.4721,0.0,10,0,2,16,9,10,10
21,False,True,8.0,False,400,22,18,0.019102002889220336,0.9914143292086668,4.603,0.100107,10,0,2,16,9,10,10
18,False,True,16.0,True,300,29,18,0.01936306151352867,0.9913491432888611,18.6967,8.7e-05,10,0,2,17,9,11,11
18,False,True,18.0,False,200,22,18,0.019420578279906446,0.9913347996849874,1736.201,0.0,10,0,2,17,9,11,11
18,False,True,16.0,False,300,22,18,0.019386486469349616,0.9913281994402692,5.3924,0.067462,10,0,2,17,9,11,11
21,False,True,12.0,False,200,22,18,0.019293759093581924,0.9913177106937705,224.8542,0.0,10,0,2,16,9,10,10
21,False,True,16.0,True,300,29,18,0.019397660859145058,0.9912996318323058,18.1,0.000117,10,0,2,16,9,10,10
21,False,True,12.0,True,200,29,16,0.019313960947768674,0.9912995193015582,40.5322,0.0,10,0,2,16,9,10,10
21,False,True,12.0,False,400,22,18,0.019340317629028336,0.9912757569811922,14.4732,0.00072,10,0,2,16,9,10,10
21,False,True,16.0,True,300,29,14,0.019429943151501965,0.9912706487970762,12.5584,0.001875,10,0,2,16,9,10,10
21,True,True,16.0,False,400,29,20,0.0194590036492159,0.9912445170686314,10.8403,0.004426,10,0,2,16,9,10,10
21,True,True,18.0,True,400,36,20,0.01952096299298019,0.991226277253201,12.7761,0.001682,10,0,2,16,9,10,10
21,False,True,12.0,False,200,22,20,0.019395465140245375,0.9912259329567097,579.8144,0.0,10,0,2,16,9,10,10
21,False,True,16.0,False,300,22,16,0.01949763800808546,0.991209715876048,5.6934,0.058036,10,0,2,16,9,10,10
21,False,True,8.0,False,200,22,20,0.01933929113678726,0.9911996990994002,196.5459,0.0,10,0,2,16,9,10,10
18,False,True,16.0,True,200,29,12,0.019549035660289843,0.9911821695080776,74.1453,0.0,10,0,2,17,9,11,11
18,False,True,8.0,True,300,29,20,0.019393295373635273,0.991169886615413,13.1889,0.001368,10,0,2,17,9,11,11
21,True,True,12.0,False,300,29,20,0.019458565188959446,0.9911687500379078,8602.8158,0.0,10,0,2,16,9,10,10
21,True,True,16.0,False,400,29,18,0.019592582831492258,0.9911238978893446,9.4771,0.008752,10,0,2,16,9,10,10
21,False,True,12.0,True,400,29,20,0.01950798487972116,0.99112383492141,44.5125,0.0,10,0,2,16,9,10,10
18,False,True,16.0,False,300,22,16,0.01962366281122274,0.9911147180379557,6.3769,0.041236,10,0,2,17,9,11,11
18,False,True,12.0,True,400,29,20,0.0195864549802243,0.9910718299117928,164.0155,0.0,10,0,2,17,9,11,11
18,False,True,8.0,False,400,22,20,0.01950125304473335,0.9910713028739006,1.81,0.404542,10,0,2,17,9,11,11
21,True,True,16.0,False,300,29,14,0.019671117676597526,0.9910525973973546,3.6458,0.161559,10,0,2,16,9,10,10
18,False,True,12.0,True,400,29,18,0.019628375101318717,0.9910335717901169,15.7658,0.000377,10,0,2,17,9,11,11
18,True,True,18.0,True,400,36,20,0.019769485244191178,0.991020647635573,14.9575,0.000565,10,0,2,17,9,11,11
18,True,True,16.0,False,300,29,14,0.01973840673647029,0.9910105058065531,2.7185,0.25685,10,0,2,17,9,11,11
18,False,True,16.0,True,300,29,16,0.019743160162173378,0.9910061755646467,8.5892,0.013642,10,0,2,17,9,11,11
18,False,True,16.0,False,200,22,12,0.01976660640244435,0.99098480142004,16.6482,0.000243,10,0,2,17,9,11,11
18,True,True,12.0,True,400,36,20,0.01968736658623666,0.9909795950590599,17.2037,0.000184,10,0,2,17,9,11,11
18,True,True,16.0,True,400,36,20,0.01977663956577464,0.9909756472017,17.4532,0.000162,10,0,2,17,9,11,11
