EMA_Span,Derivadas,Rolling,Roll_Window,Squared,N_Features,Best_C,RMSE,R2,Jarque_Bera_Stat,Jarque_Bera_p,Lag_Top_Temp,Lag_Top_Pressure,Lag_Reflux_Flow,Lag_Flow_To_Next_Process,Lag_Temp_Sixth_Tray,Lag_Bottom_Temp_1,Lag_Bottom_Temp_2
27,False,True,8.0,False,22,20,0.026486040595308943,0.9834212972925674,22.3567,1.4e-05,9,0,0,14,8,9,9
12,False,True,6.0,False,22,16,0.026657071083904957,0.9833164711703613,16.5896,0.00025,12,2,4,19,11,12,12
24,False,True,10.0,True,29,12,0.026731427241041827,0.9832232686411081,9.8093,0.007412,10,0,1,15,8,10,10
12,False,True,10.0,False,22,16,0.02687655719818379,0.9831888257234453,5.431,0.066173,12,2,4,19,11,12,12
15,False,True,8.0,True,29,14,0.026956507347331553,0.982977029919495,0.4298,0.806623,11,1,3,18,10,11,11
24,False,True,12.0,False,22,18,0.02713162157060695,0.9827929798111985,18.0644,0.00012,10,0,1,15,8,10,10
9,False,True,10.0,False,22,14,0.027299840877045616,0.9827300564688387,6.7192,0.034749,13,3,5,21,11,13,13
12,True,True,8.0,True,36,12,0.027193489806635173,0.9827144160032236,15.0687,0.000534,12,2,4,19,11,12,12
9,False,True,12.0,False,22,14,0.027458934821601465,0.9826028366712068,5.4832,0.064467,13,3,5,21,11,13,13
18,False,True,6.0,False,22,16,0.02716950577576989,0.9825927069129365,117.0702,0.0,10,0,2,17,9,11,11
9,False,True,6.0,False,22,18,0.027315418473118015,0.9825590602022792,17.6148,0.00015,13,3,5,21,11,13,13
12,True,True,10.0,True,36,10,0.027487910917859924,0.9824153289964953,20.3033,3.9e-05,12,2,4,19,11,12,12
12,False,True,12.0,False,22,16,0.0275487866204345,0.9824136530587357,4.5794,0.101295,12,2,4,19,11,12,12
9,False,True,12.0,True,29,14,0.027652439480644053,0.9823567751325031,9.5749,0.008334,13,3,5,21,11,13,13
24,False,True,6.0,False,22,20,0.027354466310261994,0.982277713302626,97.169,0.0,10,0,1,15,8,10,10
9,False,True,8.0,False,22,14,0.027673278172330524,0.9821773616241908,3.9723,0.137223,13,3,5,21,11,13,13
15,True,True,4.0,False,29,14,0.02750189045131398,0.9821251848765034,52.2664,0.0,11,1,3,18,10,11,11
18,False,True,14.0,False,22,16,0.02785895322173835,0.9820154210609705,26.0077,2e-06,10,0,2,17,9,11,11
12,True,True,4.0,False,29,14,0.027684052333697837,0.9819271315379221,19.4878,5.9e-05,12,2,4,19,11,12,12
27,False,True,6.0,False,22,20,0.0276094777192878,0.9819065654997835,64.5686,0.0,9,0,0,14,8,9,9
9,False,True,14.0,True,29,14,0.02815768829217845,0.9817841984809367,16.926,0.000211,13,3,5,21,11,13,13
12,False,True,4.0,False,22,16,0.027799152905982966,0.981776537842807,23.5946,8e-06,12,2,4,19,11,12,12
21,True,False,,False,15,12,0.027785582516360267,0.9815976894255787,170.1271,0.0,10,0,2,16,9,10,10
24,True,True,8.0,False,29,14,0.028084392542530274,0.9814006471344737,36.8966,0.0,10,0,1,15,8,10,10
15,True,True,6.0,True,36,12,0.02820543345417065,0.9812810288244003,69.0261,0.0,11,1,3,18,10,11,11
9,False,True,10.0,True,29,14,0.02848067454574094,0.9812037493260187,6.7195,0.034743,13,3,5,21,11,13,13
15,False,True,4.0,False,22,16,0.02828355276700151,0.9810946646367602,29.4618,0.0,11,1,3,18,10,11,11
12,True,True,6.0,True,36,12,0.02846838553604795,0.9809721931905719,23.3031,9e-06,12,2,4,19,11,12,12
27,True,True,16.0,True,36,18,0.028630300408879095,0.9809645975398844,21.8576,1.8e-05,9,0,0,14,8,9,9
9,False,True,14.0,False,22,14,0.02879266350070018,0.980953377467897,4.3442,0.11394,13,3,5,21,11,13,13
27,False,True,8.0,True,29,12,0.028474715618048884,0.9808382462878713,5.9394,0.051318,9,0,0,14,8,9,9
18,False,True,4.0,False,22,20,0.028550314827893913,0.9806943215191488,103.1997,0.0,10,0,2,17,9,11,11
12,False,True,8.0,True,29,14,0.028739500938558777,0.9806930971590364,1.8194,0.402649,12,2,4,19,11,12,12
21,True,True,8.0,True,36,10,0.028733039118793397,0.980574171632032,95.6701,0.0,10,0,2,16,9,10,10
9,False,True,4.0,False,22,18,0.02888518391630184,0.9804109520088875,16.5062,0.00026,13,3,5,21,11,13,13
12,False,True,12.0,True,29,14,0.02909583219844388,0.9803830153179237,8.8906,0.011734,12,2,4,19,11,12,12
12,False,True,10.0,True,29,12,0.029058210252205435,0.9803488259776503,0.9392,0.625262,12,2,4,19,11,12,12
9,False,True,8.0,True,29,14,0.02912249938749156,0.9802617762580634,9.9162,0.007026,13,3,5,21,11,13,13
12,True,True,4.0,True,36,12,0.029045999601841847,0.9801051614669184,16.5742,0.000252,12,2,4,19,11,12,12
15,True,True,4.0,True,36,12,0.02911304353369856,0.9799695049640457,48.1572,0.0,11,1,3,18,10,11,11
21,True,False,,True,22,10,0.02901741098119637,0.9799298478225444,173.2993,0.0,10,0,2,16,9,10,10
9,True,True,6.0,False,29,14,0.029441328953774045,0.9797386216741228,8.0883,0.017524,13,3,5,21,11,13,13
27,False,True,4.0,False,22,20,0.02925703924943006,0.9795969970432983,95.3505,0.0,9,0,0,14,8,9,9
27,False,True,6.0,True,29,14,0.029415386315972663,0.9794622083949763,8.8013,0.012269,9,0,0,14,8,9,9
12,True,True,6.0,False,29,10,0.029711049010125837,0.979274785814121,21.9768,1.7e-05,12,2,4,19,11,12,12
21,False,True,16.0,False,22,8,0.03012640845355229,0.9790138087364331,11.6237,0.002992,10,0,2,16,9,10,10
9,True,True,18.0,False,29,8,0.030394626583388616,0.9789572162193807,4.8849,0.086949,13,3,5,21,11,13,13
15,False,True,6.0,True,29,20,0.03003519860938901,0.9787735466659667,14.1881,0.00083,11,1,3,18,10,11,11
18,False,True,16.0,False,22,16,0.03040534273963033,0.9786690167384796,29.7023,0.0,10,0,2,17,9,11,11
